date,year,month,cell_ll_lat,cell_ll_lon,flag,geartype,hours,fishing_hours,mmsi_present,geartype_label
2017-01-01,2017,1,34.1,-120.7,USA,fishing,8.4722,6.208,1,Fishing
2017-01-01,2017,1,34.1,-120.8,USA,fishing,18.1494,14.8069,1,Fishing
2017-01-01,2017,1,34.1,-120.8,USA,set_longlines,29.1825,23.8066,1,Set Longlines
2017-01-01,2017,1,34.2,-120.7,USA,fishing,2.9347,2.3991,1,Fishing
2017-01-01,2017,1,34.2,-120.9,USA,set_longlines,0.275,0,1,Set Longlines
2017-01-01,2017,1,34.2,-120.6,USA,set_longlines,2.5974,0,2,Set Longlines
2017-01-01,2017,1,34.3,-120.7,USA,set_longlines,0.8252,0,1,Set Longlines
2017-01-01,2017,1,34.3,-120.6,USA,pole_and_line,1.0919,0,1,Pole and Line
2017-01-01,2017,1,34.3,-120.4,USA,set_longlines,1.6016,0,2,Set Longlines
2017-01-01,2017,1,34.3,-120.5,USA,set_longlines,1.1136,0,1,Set Longlines
2017-01-01,2017,1,34.3,-120.8,USA,set_longlines,0.3111,0,1,Set Longlines
2017-01-01,2017,1,34.3,-120.4,USA,fishing,0.5663,0,1,Fishing
2017-01-01,2017,1,34.4,-120.9,USA,pole_and_line,6.6011,0,1,Pole and Line
2017-01-01,2017,1,34.4,-120,USA,set_longlines,0.8744,0,1,Set Longlines
2017-01-01,2017,1,34.4,-120.6,USA,fishing,0.5669,0,1,Fishing
2017-01-01,2017,1,34.4,-120.6,USA,other_purse_seines,0.5502,0,1,Other Purse Seines
2017-01-01,2017,1,34.4,-120,USA,other_purse_seines,0.5666,0,1,Other Purse Seines
2017-01-01,2017,1,34.4,-121,USA,set_longlines,0.4333,0,1,Set Longlines
2017-01-01,2017,1,34.4,-120.3,USA,other_purse_seines,1.125,0,1,Other Purse Seines
2017-01-01,2017,1,34.5,-120.7,USA,fishing,0.3002,0,1,Fishing
2017-01-01,2017,1,34.7,-120.8,USA,fishing,0.4083,0,1,Fishing
2017-01-01,2017,1,34.8,-120.9,USA,fishing,0.5583,0,1,Fishing
2017-01-01,2017,1,34.9,-121,USA,fishing,0.9502,0,1,Fishing
2017-01-01,2017,1,34,-120.8,USA,fishing,1.8322,1.565,1,Fishing
2017-01-01,2017,1,34.1,-120.7,USA,set_longlines,7.42,4.1986,1,Set Longlines
2017-01-01,2017,1,34.2,-120.7,USA,set_longlines,6.2216,1.6911,2,Set Longlines
2017-01-01,2017,1,34.2,-120.8,USA,fishing,1.6905,1.6905,1,Fishing
2017-01-01,2017,1,34.2,-120.6,USA,fishing,0.3144,0,1,Fishing
2017-01-01,2017,1,34.2,-120.8,USA,set_longlines,27.7891,15.7516,2,Set Longlines
2017-01-01,2017,1,34.3,-121,USA,set_longlines,8.6333,5.7169,1,Set Longlines
2017-01-01,2017,1,34.3,-120.9,USA,pole_and_line,1.1669,0,1,Pole and Line
2017-01-01,2017,1,34.3,-120.4,USA,pole_and_line,0.8252,0,1,Pole and Line
2017-01-01,2017,1,34.3,-120.6,USA,set_longlines,0.6075,0,1,Set Longlines
2017-01-01,2017,1,34.3,-120.7,USA,pole_and_line,1.4249,0,1,Pole and Line
